,기업명, ESG 종합등급,지배구조,사회,환경,평가연도
0,서울식품공업,B이하,B,B이하,B이하,2018
1,서원,B이하,B,B이하,B+,2018
2,서흥,B이하,B,B이하,B이하,2018
3,선도전기,B이하,B,B이하,B이하,2018
4,선진,B이하,B+,B이하,B이하,2018
5,선창산업,B이하,C,B이하,B이하,2018
6,성문전자,B이하,C,B이하,B이하,2018
7,성보화학,B이하,B,B이하,B이하,2018
8,성신양회,B이하,B,B이하,B+,2018
9,성안,B이하,C,B이하,B이하,2018
10,성지건설,B이하,D,B이하,B이하,2018
11,성창기업지주,B이하,C,B이하,B이하,2018
12,세기상사,B이하,B,B이하,B이하,2018
13,세방,B이하,B+,B이하,B이하,2018
14,세방전지,B이하,C,B이하,B+,2018
15,세아베스틸,B이하,C,B+,B+,2018
16,세아제강,B이하,C,B이하,B+,2018
17,세아특수강,B이하,B,B이하,B+,2018
18,세아홀딩스,B이하,C,B이하,B이하,2018
19,세우글로벌,B이하,C,B이하,B이하,2018
20,세원셀론텍,B이하,C,B이하,B이하,2018
21,세원정공,B이하,B,B이하,B이하,2018
22,세이브존I&C,B이하,C,B이하,B이하,2018
23,세종공업,B이하,C,B이하,B이하,2018
24,세진중공업,B이하,B,B이하,B이하,2018
25,세하,B이하,B,B이하,B+,2018
26,세화아이엠씨,B이하,D,B이하,B이하,2018
27,셀트리온,B이하,B,B이하,B이하,2018
28,송원산업,B이하,D,B이하,B+,2018
29,수산중공업,B이하,B,B이하,B이하,2018
30,시디즈,B이하,B,B이하,B이하,2018
31,신대양제지,B이하,D,B이하,B이하,2018
32,신도리코,B이하,B+,B이하,B이하,2018
33,신라교역,B이하,C,B이하,B이하,2018
34,신성이엔지,B이하,C,B이하,B이하,2018
35,신성통상,B이하,C,B이하,B이하,2018
36,신세계,B+,B,A+,B+,2018
37,신세계I&C,B이하,B,A,B이하,2018
38,신세계건설,B+,B+,B+,B이하,2018
39,신세계인터내셔날,B+,B+,B+,B이하,2018
40,신세계푸드,B이하,C,B+,B이하,2018
41,신송홀딩스,B이하,B,B이하,B이하,2018
42,신영와코루,B이하,D,B이하,B이하,2018
43,신영증권,B이하,B+ 이하,B이하,B이하,2018
