,기업명, ESG 종합등급,환경,사회,지배구조,평가연도
0,AJ네트웍스,B,D,B,B,2020
1,AK홀딩스,B+,C,B+,B+,2020
2,BGF,B+,B,A,B+,2020
3,BGF리테일,A,B+,B+,A,2020
4,BNK금융지주,A+,B+,A+,A+,2020
5,BYC,B,D,B,B+,2020
6,CJ,A,B,A,A,2020
7,CJ CGV,A,B,A,A,2020
8,CJ대한통운,A,A,B+,A,2020
9,CJ씨푸드,B,C,B+,B+,2020
10,CJ제일제당,A,A,A+,A,2020
11,CS홀딩스,C,D,C,B,2020
12,DB,B,D,B,B,2020
13,DB금융투자,B,D,A,B,2020
14,DB손해보험,B+,A,A,B+,2020
15,DB하이텍,B+,B+,A,B+,2020
16,DGB금융지주,A+,A,A+,A+,2020
17,DL,B+,A,B+,B+,2020
18,DL건설,B,B,B+,B,2020
19,DRB동일,B,B,B+,B,2020
20,DSR,C,B,B,C,2020
21,DSR제강,C,C,B,C,2020
22,E1,B,C,A,B+,2020
23,F&F,-,-,-,-,2020
24,F&F 홀딩스,D,D,C,C,2020
25,GKL,B+,C,A,A,2020
26,GS,B+,C,A,A,2020
27,GS건설,A,A,B+,A,2020
28,GS글로벌,B,D,B+,B+,2020
29,GS리테일,B,C,B+,B+,2020
30,HDC,B+,C,B+,B+,2020
31,HDC랩스,C,D,C,B,2020
32,HDC현대EP,B,B,B+,B,2020
33,HDC현대산업개발,B,C,B,B+,2020
34,HD현대,A,B+,A,A,2020
35,HJ중공업,B,B,B,B+,2020
36,HLB글로벌,C,D,B,C,2020
37,HMM,A,A,A+,A,2020
38,HSD엔진,A,B+,A,A,2020
39,JB금융지주,A+,A,A,A+,2020
40,JW생명과학,B+,B+,B+,B+,2020
41,JW중외제약,B,B,B+,B,2020
42,JW홀딩스,B+,C,B+,B+,2020
43,KB금융,A+,A+,A+,A+,2020
44,KC그린홀딩스,B,B,B+,B,2020
45,KC코트렐,B,B,B,B,2020
46,KEC,B,B+,B+,C,2020
47,KG스틸,B,B,B+,B,2020
48,KG케미칼,D,C,C,D,2020
49,KH 필룩스,C,C,B,B,2020
50,KISCO홀딩스,C,B,B,C,2020
51,KPX케미칼,B,B,C,B,2020
52,KPX홀딩스,C,C,C,B,2020
53,KR모터스,C,D,C,B,2020
54,KSS해운,B+,B,B+,B+,2020
55,KTcs,B,D,B+,B+,2020
56,KTis,B,D,B+,B+,2020
57,LF,B,D,B,B+,2020
58,LG,A,B+,A+,B+,2020
59,LG디스플레이,A,B+,A+,B+,2020
60,LG생활건강,A,A,A+,A,2020
61,LG에너지솔루션,-,-,-,-,2020
62,LG유플러스,B,B+,B+,B,2020
63,LG이노텍,A,A,A+,B+,2020
64,LG전자,B+,A,A+,B,2020
65,LG헬로비전,B+,D,B+,A,2020
66,LG화학,B,C,A,B+,2020
67,LIG넥스원,A,B+,A,A,2020
68,LS,B+,B,B+,A,2020
69,LS네트웍스,B,D,B+,B,2020
70,LS전선아시아,B,D,C,B+,2020
71,LX인터내셔널,A,A,A+,A,2020
72,LX하우시스,A,A,A+,A,2020
73,MH에탄올,B,C,B,B+,2020
74,NAVER,A,B+,A,A+,2020
75,NH투자증권,B+,B,A+,B+,2020
76,NICE,B,D,B,B+,2020
77,NI스틸,C,D,C,B,2020
78,OCI,A,A,A+,A,2020
79,PI첨단소재,B,C,B,B+,2020
80,POSCO홀딩스,A,A,B+,A+,2020
81,S-Oil,A+,A,A+,A+,2020
82,SBS,B,C,B,B+,2020
83,SGC에너지,C,C,B,C,2020
84,SG글로벌,D,C,C,D,2020
85,SG세계물산,C,D,B,C,2020
86,SHD,D,D,C,D,2020
87,SH에너지화학,C,C,C,B+,2020
88,SIMPAC,C,C,B,C,2020
89,SK,A+,A,A+,A+,2020
90,SKC,A,B+,A+,A,2020
91,SK가스,A,B+,A+,A,2020
92,SK네트웍스,A+,B+,A+,A+,2020
93,SK디스커버리,A,B,A,A,2020
94,SK디앤디,B,C,B,B+,2020
95,SK렌터카,B,B,C,B,2020
96,SK바이오사이언스,-,-,-,-,2020
97,SK스퀘어,-,-,-,-,2020
98,SK아이이테크놀로지,-,-,-,-,2020
99,SK이노베이션,A,A,A+,A,2020
100,SK증권,B,D,A,B,2020
101,SK케미칼,B+,B+,A,B+,2020
102,SK텔레콤,A+,A+,A,A+,2020
103,SK하이닉스,A,A,A+,A,2020
104,SNT모티브,B+,B,B+,B+,2020
105,SNT에너지,B+,B,B,B+,2020
106,SNT중공업,B+,B+,B+,B+,2020
107,SNT홀딩스,B+,C,B+,B+,2020
108,SPC삼립,B+,B,A,B,2020
109,STX,B,C,B+,B,2020
110,STX엔진,B+,B+,B+,B,2020
111,STX중공업,B,C,B+,B+,2020
112,SUN&L,B+,B,B,B+,2020
113,TCC스틸,C,B,B,C,2020
114,TYM,B+,B,B+,B+,2020
115,WISCOM,C,C,C,B+,2020
116,YG PLUS,B,D,B,B,2020
117,가온전선,B+,B,B+,B+,2020
118,강남제비스코,B,B,C,B,2020
119,강원랜드,A,B,A,A,2020
120,갤럭시아에스엠,C,D,C,C,2020
121,경농,C,B,B+,C,2020
122,경동나비엔,B+,B,B+,B+,2020
123,경동도시가스,B+,B,A,B+,2020
124,경동인베스트,B,C,B,B+,2020
125,경방,C,C,B,B,2020
126,경보제약,B,B,B,B,2020
127,경인양행,B,B,C,B,2020
128,경인전자,C,D,C,B,2020
129,계룡건설산업,B,B,B,B+,2020
130,계양전기,B,B,B+,B,2020
131,고려산업,C,C,C,C,2020
132,고려아연,B+,B+,B,B+,2020
133,고려제강,B,B+,B+,C,2020
134,광동제약,B,C,B+,B+,2020
135,광명전기,C,C,C,C,2020
136,광전자,B,C,B,B+,2020
137,광주신세계,B+,C,A,B+,2020
138,교보증권,B,D,B+,B,2020
139,국도화학,B,B,B,B,2020
140,국동,B,D,C,B+,2020
141,국보,C,B,C,C,2020
142,국제약품,C,D,B,C,2020
143,그린케미칼,B,B,B,B,2020
144,극동유화,B,B,C,B,2020
