,company,ESG_2021,E_2021,S_2021,G_2021,ESG_2020,E_2020,S_2020,G_2020,ESG_2019,E_2019,S_2019,G_2019
0,AJ네트웍스,B,D,B,B,B,D,B,B,B,D,B,B
1,AK홀딩스,B+,B,B+,B+,B+,C,B+,B+,B,C,B,B
2,BGF,A,A,A+,A,B+,B,A,B+,B,C,A,B
3,BGF리테일,A,A,A+,A,A,B+,B+,A,B,C,B+,B+
4,BNK금융지주,A+,A,A+,A+,A+,B+,A+,A+,A+,B+,A+,A+
5,BYC,B,D,B,B+,B,D,B,B+,B,C,B+,B+
6,CJ,A,B+,A+,A,A,B,A,A,A,B,A+,A
7,CJ CGV,A,B,A,A,A,B,A,A,B+,B,B+,A
8,CJ대한통운,A,A,A+,A,A,A,B+,A,B+,A,B+,B+
9,CJ씨푸드,B,C,B+,B+,B,C,B+,B+,C,D,C,B+
10,CJ제일제당,A,A,A+,A,A,A,A+,A,A,A,A+,A
11,CS홀딩스,B,D,C,B+,C,D,C,B,C,D,C,B
12,DB,B,D,B+,B+,B,D,B,B,B,D,B,B
13,DB금융투자,B,D,B+,B,B,D,A,B,B,D,B+,B
14,DB손해보험,A,A,A+,B+,B+,A,A,B+,B+,A,A,B+
15,DB하이텍,A,A,A,A,B+,B+,A,B+,B+,B+,A,B+
16,DGB금융지주,A+,A,A+,A+,A+,A,A+,A+,B+,A,A,B+
17,DL,A,A+,A+,B+,B+,A,B+,B+,B,B,C,B
18,DL건설,B+,B+,A,B+,B,B,B+,B,B+,B,B+,B+
19,DRB동일,B+,B,B+,B+,B,B,B+,B,B,B,B,B+
20,DSR,B,B,B,B,C,B,B,C,C,B,B,C
21,DSR제강,C,C,C,B+,C,C,B,C,C,C,B,C
22,E1,B+,B+,A,B+,B,C,A,B+,B,C,B+,B
24,F&F 홀딩스,B+,B+,A,B+,D,D,C,C,C,D,C,B
25,GKL,B+,B+,B+,B+,B+,C,A,A,B,C,B+,B
26,GS,A,A,A,A,B+,C,A,A,B,D,B+,B+
27,GS건설,A,A,A+,A,A,A,B+,A,A,B+,A,A
28,GS글로벌,B+,B,B+,A,B,D,B+,B+,B,D,B+,B+
29,GS리테일,A,A,A,A,B,C,B+,B+,B,C,A,B
30,HDC,B+,B,B+,A,B+,C,B+,B+,B,D,B+,B+
31,HDC랩스,B,C,B,B+,C,D,C,B,C,D,B,B
32,HDC현대EP,B+,B,B+,B+,B,B,B+,B,B,B,B,B
34,HD현대,A,A,A+,A,A,B+,A,A,A,B+,A+,B+
35,HJ중공업,B,C,B,B+,B,B,B,B+,C,C,C,B
36,HLB글로벌,C,D,C,B,C,D,B,C,D,D,C,C
37,HMM,A,A,A+,A,A,A,A+,A,B+,B+,B+,B+
38,HSD엔진,A,B+,A,A,A,B+,A,A,A,B+,A+,A
39,JB금융지주,A+,A,A+,A+,A+,A,A,A+,A,B+,A,A
40,JW생명과학,B,B,B+,B,B+,B+,B+,B+,B+,B+,B+,B+
41,JW중외제약,B,C,B+,B+,B,B,B+,B,B+,B,A,B+
42,JW홀딩스,B,D,B+,B+,B+,C,B+,B+,B,C,B+,B
43,KB금융,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A,A+
44,KC그린홀딩스,B,D,C,B+,B,B,B+,B,B,B,B,B
45,KC코트렐,C,D,C,B+,B,B,B,B,B,B,C,B
46,KEC,B,B,B+,B,B,B+,B+,C,B,B,C,B
47,KG스틸,B,B+,B,B,B,B,B+,B,C,B,B,D
48,KG케미칼,C,C,C,B,D,C,C,D,C,C,C,C
49,KH 필룩스,C,C,B,C,C,C,B,B,B,B,B,B
50,KISCO홀딩스,B,B,B,B,C,B,B,C,B,B,C,B
51,KPX케미칼,C,B,C,C,B,B,C,B,B,B,C,B
52,KPX홀딩스,B,B,C,B+,C,C,C,B,C,C,C,B
53,KR모터스,C,D,C,B,C,D,C,B,C,D,B,C
54,KSS해운,A,B+,A+,A,B+,B,B+,B+,B+,B,B+,B+
55,KTcs,A,B+,A,A,B,D,B+,B+,B,D,B+,B+
56,KTis,A,B+,A+,A,B,D,B+,B+,B,D,B+,B+
57,LF,B,D,B,B+,B,D,B,B+,B,D,B,B+
58,LG,A,A,A+,A,A,B+,A+,B+,B+,B,A,B+
59,LG디스플레이,B+,B,A,B+,A,B+,A+,B+,B+,B+,A,B
60,LG생활건강,A,A,A+,A,A,A,A+,A,A,A,A+,B+
62,LG유플러스,A,A,A+,A,B,B+,B+,B,B+,B+,A,B+
63,LG이노텍,A,A,A+,A,A,A,A+,B+,B+,B+,A,B+
64,LG전자,A,A,A+,A,B+,A,A+,B,B+,A,A,B
65,LG헬로비전,B+,C,A,A,B+,D,B+,A,B+,C,B+,B+
66,LG화학,B+,B+,A,B+,B,C,A,B+,B,D,A,B+
67,LIG넥스원,A,A,A+,A,A,B+,A,A,B+,B+,A,B+
68,LS,A,B+,A+,B+,B+,B,B+,A,B+,B,A,B
69,LS네트웍스,C,D,C,B,B,D,B+,B,B,D,B,B
70,LS전선아시아,B,D,C,B+,B,D,C,B+,B,D,C,B+
71,LX인터내셔널,A,A,A+,A,A,A,A+,A,B+,C,A,B+
72,LX하우시스,A,A,A+,A,A,A,A+,A,A,A,A,B+
73,MH에탄올,B,B,D,B+,B,C,B,B+,B,C,B,B
74,NAVER,A+,A,A,A+,A,B+,A,A+,B+,B,A,B+
75,NH투자증권,A,A,A+,A,B+,B,A+,B+,B+,C,A,B+
76,NICE,B+,B,A,B+,B,D,B,B+,B,D,B,B+
77,NI스틸,C,D,C,B,C,D,C,B,D,D,C,C
78,OCI,A,B+,A+,A,A,A,A+,A,A,B,A+,A
79,PI첨단소재,B+,B+,B,B+,B,C,B,B+,B,B,C,B+
80,POSCO홀딩스,A,A,A,A+,A,A,B+,A+,A,B,B+,A+
81,S-Oil,A+,A,A+,A+,A+,A,A+,A+,A,B+,A+,A+
