,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
0,AJ네트웍스,095570,B,D,B,B,2021
1,AK홀딩스,006840,B+,B,B+,B+,2021
2,AP시스템,265520,D,D,D,C,2021
3,BGF,027410,A,A,A+,A,2021
4,BGF리테일,282330,A,A,A+,A,2021
5,BNK금융지주,138930,A+,A,A+,A+,2021
6,BNK캐피탈,801190,,,,B+,2021
7,BYC,001460,B,D,B,B+,2021
8,CJ,001040,A,B+,A+,A,2021
9,CJ CGV,079160,A,B,A,A,2021
10,CJ ENM,035760,A,B,A+,A,2021
11,CJ대한통운,000120,A,A,A+,A,2021
12,CJ씨푸드,011150,B,C,B+,B+,2021
13,CJ제일제당,097950,A,A,A+,A,2021
14,CJ프레시웨이,051500,A,B,A,A,2021
15,CMG제약,058820,C,D,C,C,2021
16,CS홀딩스,000590,B,D,C,B+,2021
17,DB,012030,B,D,B+,B+,2021
18,DB금융투자,016610,B,D,B+,B,2021
19,DB생명보험,818158,,,,B+,2021
20,DB손해보험,005830,A,A,A+,B+,2021
21,DB하이텍,000990,A,A,A,A,2021
22,DGB금융지주,139130,A+,A,A+,A+,2021
23,DGB생명보험,813363,,,,B+,2021
24,DL,000210,A,A+,A+,B+,2021
25,DL건설,001880,B+,B+,A,B+,2021
26,DRB동일,004840,B+,B,B+,B+,2021
27,DSR,155660,B,B,B,B,2021
28,DSR제강,069730,C,C,C,B+,2021
29,E1,017940,B+,B+,A,B+,2021
30,F&F 홀딩스,007700,B+,B+,A,B+,2021
31,GKL,114090,B+,B+,B+,B+,2021
32,GS,078930,A,A,A,A,2021
33,GS건설,006360,A,A,A+,A,2021
34,GS글로벌,001250,B+,B,B+,A,2021
35,GS리테일,007070,A,A,A,A,2021
36,HDC,012630,B+,B,B+,A,2021
37,HDC아이콘트롤스,039570,B,C,B,B+,2021
38,HDC현대EP,089470,B+,B,B+,B+,2021
39,HDC현대산업개발,294870,B,B,C,B+,2021
40,HMM,011200,A,A,A+,A,2021
41,HSD엔진,082740,A,B+,A,A,2021
42,JB금융지주,175330,A+,A,A+,A+,2021
43,JW생명과학,234080,B,B,B+,B,2021
44,JW중외제약,001060,B,C,B+,B+,2021
45,JW홀딩스,096760,B,D,B+,B+,2021
46,JYP Ent.,035900,B,D,B,B,2021
47,KB금융,105560,A+,A+,A+,A+,2021
48,KB손해보험,002550,,,,A,2021
49,KCC건설,021320,C,C,B,B,2021
50,KCI,036670,C,C,C,B,2021
51,KC그린홀딩스,009440,B,D,C,B+,2021
52,KC코트렐,119650,C,D,C,B+,2021
53,KEC,092220,B,B,B+,B,2021
54,KG ETS,151860,B,B+,C,B,2021
55,KG동부제철,016380,B,B+,B,B,2021
56,KG모빌리언스,046440,C,D,C,C,2021
57,KG이니시스,035600,C,D,B+,C,2021
58,KG케미칼,001390,C,C,C,B,2021
59,KH 필룩스,033180,C,C,B,C,2021
60,KH바텍,060720,B,B,B,B,2021
61,KISCO홀딩스,001940,B,B,B,B,2021
62,KPX케미칼,025000,C,B,C,C,2021
63,KPX홀딩스,092230,B,B,C,B+,2021
64,KR모터스,000040,C,D,C,B,2021
65,KSS해운,044450,A,B+,A+,A,2021
66,KTB투자증권,030210,B+,C,A,B+,2021
67,KTcs,058850,A,B+,A,A,2021
68,KTis,058860,A,B+,A+,A,2021
69,KT서브마린,060370,B,C,B,B+,2021
70,LF,093050,B,D,B,B+,2021
71,LG,003550,A,A,A+,A,2021
72,LG디스플레이,034220,B+,B,A,B+,2021
73,LG생활건강,051900,A,A,A+,A,2021
74,LG유플러스,032640,A,A,A+,A,2021
75,LG이노텍,011070,A,A,A+,A,2021
76,LG전자,066570,A,A,A+,A,2021
77,LG헬로비전,037560,B+,C,A,A,2021
78,LG화학,051910,B+,B+,A,B+,2021
79,LIG넥스원,079550,A,A,A+,A,2021
80,LS,006260,A,B+,A+,B+,2021
81,LS네트웍스,000680,C,D,C,B,2021
82,LS전선아시아,229640,B,D,C,B+,2021
83,LX세미콘,108320,B+,B,B+,B+,2021
84,LX인터내셔널,001120,A,A,A+,A,2021
85,LX하우시스,108670,A,A,A+,A,2021
86,MH에탄올,023150,B,B,D,B+,2021
87,NAVER,035420,A+,A,A,A+,2021
88,NHN한국사이버결제,060250,C,D,C,B,2021
89,NH농협손해보험,839719,,,,A,2021
90,NH투자증권,005940,A,A,A+,A,2021
91,NICE,034310,B+,B,A,B+,2021
92,NICE평가정보,030190,B+,B,A,B,2021
93,NI스틸,008260,C,D,C,B,2021
94,OCI,010060,A,B+,A+,A,2021
95,PI첨단소재,178920,B+,B+,B,B+,2021
96,RFHIC,218410,C,D,C,B,2021
97,S-Oil,010950,A+,A,A+,A+,2021
98,SBS,034120,B,D,B+,B+,2021
99,SBS미디어홀딩스,101060,B,D,B+,B,2021
100,SBS콘텐츠허브,046140,B,D,B,B,2021
101,SFA반도체,036540,C,B+,B,C,2021
102,SGC에너지,005090,B+,B+,A,B+,2021
103,SGC이테크건설,016250,C,C,C,B+,2021
104,SG글로벌,001380,C,C,C,C,2021
105,SG세계물산,004060,C,D,B,C,2021
106,SH에너지화학,002360,B,B,D,B+,2021
107,SIMPAC,009160,B,B,B,B,2021
108,SK,034730,A+,A+,A+,A+,2021
109,SKC,011790,A,A,A+,B+,2021
110,SK가스,018670,A,A,A+,A,2021
111,SK네트웍스,001740,A,B+,A+,A,2021
112,SK디스커버리,006120,A,A,A+,A,2021
113,SK디앤디,210980,A,A,A+,A,2021
114,SK렌터카,068400,A,B+,A+,B+,2021
115,SK머티리얼즈,036490,A,A,A+,A,2021
116,SK이노베이션,096770,A+,A,A+,A+,2021
117,SK증권,001510,B+,C,A,B+,2021
118,SK케미칼,285130,A,A,A+,A,2021
119,SK텔레콤,017670,A,A,A+,A,2021
120,SK하이닉스,000660,A,B+,A+,A,2021
121,SNT모티브,064960,B,C,B,B+,2021
